Marka,Model,Godiste,Kilometraza,Karoserija,Gorivo,Kubikaza,Snaga motora,Cena,EKM,Pogon,Menjac,Klima,Boja,Materijal enterijera,prosek_god_km,Starost,Km_cat
BMW,116,2015,194000,Hecbek,Dizel,1.5,115,10900.0,Euro 6 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Plava,Stof,32333.333333333332,6,190000-200000
BMW,116,2015,176000,Hecbek,Dizel,1.5,115,10990.0,Euro 6 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Stof,29333.333333333332,6,170000-180000
BMW,116,2015,197000,Hecbek,Dizel,1.5,115,10290.0,Euro 6 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Plava,Stof,32833.333333333336,6,190000-200000
BMW,116,2016,141000,Hecbek,Dizel,1.5,115,12900.0,Euro 6 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,28200.0,5,140000-150000
BMW,116,2015,250000,Hecbek,Dizel,1.5,115,10500.0,Euro 6 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,41666.666666666664,6,250000-260000
BMW,116,2015,195000,Hecbek,Dizel,1.5,115,11800.0,Euro 6 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,32500.0,6,190000-200000
BMW,116,2007,207560,Hecbek,Benzin,1.6,115,3850.0,Euro 4 ,Prednji ,Manuelni 6 brzina ,Automatska klima ,Plava,Stof,14825.714285714286,14,200000-210000
BMW,116,2012,161298,Hecbek,Benzin,1.6,135,7999.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Bela,Stof,17922.0,9,160000-170000
BMW,116,2005,188232,Hecbek,Benzin,1.6,115,3999.0,Euro 3 ,Zadnji ,Manuelni 5 brzina ,Automatska klima ,Siva,Stof,11764.5,16,180000-190000
BMW,116,2005,196000,Hecbek,Benzin,1.6,115,3890.0,Euro 4 ,Zadnji ,Manuelni 5 brzina ,Automatska klima ,Crna,Stof,12250.0,16,190000-200000
BMW,116,2009,187700,Hecbek,Benzin,1.6,120,4500.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Bela,Stof,15641.666666666666,12,180000-190000
BMW,116,2005,280000,Hecbek,Benzin,1.6,115,3890.0,Euro 4 ,Zadnji ,Manuelni 5 brzina ,Automatska klima ,Siva,Stof,17500.0,16,280000-290000
BMW,116,2013,207000,Hecbek,Benzin,1.6,135,8200.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Bela,Stof,25875.0,8,200000-210000
BMW,116,2008,235000,Hecbek,Benzin,1.6,120,3200.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Stof,18076.923076923078,13,230000-240000
BMW,116,2004,229403,Hecbek,Benzin + Gas (TNG),1.6,115,3100.0,Euro 4 ,Zadnji ,Manuelni 5 brzina ,Manuelna klima ,Siva,Stof,13494.29411764706,17,220000-230000
BMW,116,2006,250000,Hecbek,Benzin,1.6,115,3550.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Druga,Kombinovana koza,16666.666666666668,15,250000-260000
BMW,116,2013,180000,Hecbek,Dizel,1.6,115,8500.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Siva,Stof,22500.0,8,180000-190000
BMW,116,2005,231453,Hecbek,Benzin + Gas (TNG),1.6,115,3199.0,Euro 3 ,Zadnji ,Manuelni 5 brzina ,Manuelna klima ,Siva,Stof,14465.8125,16,230000-240000
BMW,116,2014,206000,Hecbek,Dizel,1.6,115,8600.0,Euro 5 ,Prednji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,29428.571428571428,7,200000-210000
BMW,116,2006,193311,Hecbek,Benzin,1.6,115,3999.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,12887.4,15,190000-200000
BMW,116,2012,165220,Hecbek,Benzin,1.6,135,8600.0,Euro 6 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Druga,Kombinovana koza,18357.777777777777,9,160000-170000
BMW,116,2014,193900,Hecbek,Dizel,1.6,115,11350.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,27700.0,7,190000-200000
BMW,116,2008,151000,Hecbek,Benzin,1.6,120,4099.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,11615.384615384615,13,150000-160000
BMW,116,2005,272000,Hecbek,Benzin,1.6,115,3850.0,Euro 4 ,Zadnji ,Manuelni 5 brzina ,Manuelna klima ,Siva,Stof,17000.0,16,270000-280000
BMW,116,2004,167147,Hecbek,Benzin,1.6,115,3550.0,Euro 4 ,Zadnji ,Manuelni 5 brzina ,Manuelna klima ,Siva,Stof,9832.176470588236,17,160000-170000
BMW,116,2012,173000,Hecbek,Benzin,1.6,135,7999.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,19222.222222222223,9,170000-180000
BMW,116,2006,197394,Hecbek,Benzin,1.6,115,3700.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,13159.6,15,190000-200000
BMW,116,2006,218000,Hecbek,Benzin,1.6,115,3650.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,14533.333333333334,15,210000-220000
BMW,116,2005,175000,Hecbek,Benzin,1.6,115,4000.0,Euro 4 ,Zadnji ,Manuelni 5 brzina ,Manuelna klima ,Crna,Prirodna koza,10937.5,16,170000-180000
BMW,116,2013,196210,Hecbek,Dizel,1.6,115,7999.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Siva,Stof,24526.25,8,190000-200000
BMW,116,2013,174270,Hecbek,Dizel,1.6,115,8690.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,21783.75,8,170000-180000
BMW,116,2008,274943,Hecbek,Benzin,1.6,120,4600.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,21149.46153846154,13,270000-280000
BMW,116,2007,180000,Hecbek,Benzin,1.6,115,4250.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Stof,12857.142857142857,14,180000-190000
BMW,116,2014,182400,Hecbek,Dizel,1.6,115,8890.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,26057.14285714286,7,180000-190000
BMW,116,2007,200000,Hecbek,Benzin,1.6,115,4000.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,14285.714285714286,14,200000-210000
BMW,116,2005,187256,Hecbek,Benzin,1.6,115,3900.0,Euro 4 ,Zadnji ,Manuelni 5 brzina ,Automatska klima ,Siva,Stof,11703.5,16,180000-190000
