Marka,Model,Godiste,Kilometraza,Karoserija,Gorivo,Kubikaza,Snaga motora,Cena,Pogon,Menjac,Boja
BMW,116,2015,194000,Hecbek,Dizel,1.5,115,10900,Zadnji ,Manuelni 6 brzina ,Plava
BMW,116,2015,176000,Hecbek,Dizel,1.5,115,10990,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2017,184924,Hecbek,Dizel,1.5,115,12300,Zadnji ,Automatski / poluautomatski ,Crna
BMW,116,2016,185000,Hecbek,Dizel,1.5,115,13800,Zadnji ,Automatski / poluautomatski ,Bela
BMW,116,2015,197000,Hecbek,Dizel,1.5,115,10290,Zadnji ,Manuelni 6 brzina ,Plava
BMW,116,2016,141000,Hecbek,Dizel,1.5,115,12900,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2016,177000,Hecbek,Dizel,1.5,115,13499,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2017,162000,Hecbek,Dizel,1.5,115,15500,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2015,250000,Hecbek,Dizel,1.5,115,10500,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2015,195000,Hecbek,Dizel,1.5,115,11800,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2017,186023,Hecbek,Dizel,1.5,115,15000,Zadnji ,Automatski / poluautomatski ,Crna
BMW,116,2015,123000,Hecbek,Dizel,1.5,115,13499,Zadnji ,Manuelni 6 brzina ,Druga
BMW,116,2017,184924,Hecbek,Dizel,1.5,115,12300,Zadnji ,Automatski / poluautomatski ,Crna
BMW,116,2013,146000,Hecbek,Benzin,1.6,135,8750,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2007,207560,Hecbek,Benzin,1.6,115,3850,Prednji ,Manuelni 6 brzina ,Plava
BMW,116,2015,180000,Hecbek,Benzin,1.6,135,9600,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2012,161298,Hecbek,Benzin,1.6,135,7999,Zadnji ,Manuelni 6 brzina ,Bela
BMW,116,2005,188232,Hecbek,Benzin,1.6,115,3999,Zadnji ,Manuelni 5 brzina ,Siva
BMW,116,2005,196000,Hecbek,Benzin,1.6,115,3890,Zadnji ,Manuelni 5 brzina ,Crna
BMW,116,2009,187700,Hecbek,Benzin,1.6,120,4500,Zadnji ,Manuelni 6 brzina ,Bela
BMW,116,2005,280000,Hecbek,Benzin,1.6,115,3890,Zadnji ,Manuelni 5 brzina ,Siva
BMW,116,2013,207000,Hecbek,Benzin,1.6,135,8200,Zadnji ,Manuelni 6 brzina ,Bela
BMW,116,2008,235000,Hecbek,Benzin,1.6,120,3200,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2004,229403,Hecbek,Benzin + Gas (TNG),1.6,115,3100,Zadnji ,Manuelni 5 brzina ,Siva
BMW,116,2006,250000,Hecbek,Benzin,1.6,115,3550,Zadnji ,Manuelni 6 brzina ,Druga
BMW,116,2013,180000,Hecbek,Dizel,1.6,115,8500,Zadnji ,Manuelni 6 brzina ,Siva
BMW,116,2005,231453,Hecbek,Benzin + Gas (TNG),1.6,115,3199,Zadnji ,Manuelni 5 brzina ,Siva
BMW,116,2014,206000,Hecbek,Dizel,1.6,115,8600,Prednji ,Manuelni 6 brzina ,Crna
BMW,116,2006,193311,Hecbek,Benzin,1.6,115,3999,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2012,165220,Hecbek,Benzin,1.6,135,8600,Zadnji ,Manuelni 6 brzina ,Druga
BMW,116,2014,193900,Hecbek,Dizel,1.6,115,11350,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2008,151000,Hecbek,Benzin,1.6,120,4099,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2005,272000,Hecbek,Benzin,1.6,115,3850,Zadnji ,Manuelni 5 brzina ,Siva
BMW,116,2004,167147,Hecbek,Benzin,1.6,115,3550,Zadnji ,Manuelni 5 brzina ,Siva
BMW,116,2015,100000,Hecbek,Benzin,1.6,135,12499,Prednji ,Manuelni 6 brzina ,Crna
BMW,116,2012,173000,Hecbek,Benzin,1.6,135,7999,Zadnji ,Manuelni 6 brzina ,Siva
BMW,116,2006,197394,Hecbek,Benzin,1.6,115,3700,Zadnji ,Manuelni 6 brzina ,Siva
BMW,116,2011,164000,Hecbek,Benzin,1.6,135,8500,Zadnji ,Manuelni 6 brzina ,Druga
BMW,116,2006,218000,Hecbek,Benzin,1.6,115,3650,Zadnji ,Manuelni 6 brzina ,Siva
BMW,116,2005,175000,Hecbek,Benzin,1.6,115,4000,Zadnji ,Manuelni 5 brzina ,Crna
BMW,116,2013,174270,Hecbek,Dizel,1.6,115,8690,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2008,274943,Hecbek,Benzin,1.6,120,4600,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2007,180000,Hecbek,Benzin,1.6,115,4250,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2014,182400,Hecbek,Dizel,1.6,115,8890,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2007,200000,Hecbek,Benzin,1.6,115,4000,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2005,215535,Hecbek,Benzin,1.6,115,4200,Zadnji ,Manuelni 5 brzina ,Crna
BMW,116,2011,157000,Hecbek,Benzin,1.6,135,9100,Zadnji ,Automatski / poluautomatski ,Siva
BMW,116,2005,187256,Hecbek,Benzin,1.6,115,3900,Zadnji ,Manuelni 5 brzina ,Siva
BMW,116,2005,217100,Hecbek,Benzin,1.6,115,3150,Zadnji ,Manuelni 5 brzina ,Siva
BMW,116,2008,218500,Hecbek,Benzin,1.6,120,4270,Zadnji ,Manuelni 6 brzina ,Siva
BMW,116,2011,181882,Hecbek,Benzin,1.6,135,9000,Zadnji ,Manuelni 6 brzina ,Bela
BMW,116,2007,183979,Hecbek,Benzin + Gas (TNG),1.6,115,3850,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2005,260000,Hecbek,Benzin,1.6,115,3250,Zadnji ,Manuelni 5 brzina ,Siva
BMW,116,2008,225000,Hecbek,Benzin,1.6,120,4250,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2012,150000,Hecbek,Benzin,1.6,135,8400,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2007,240000,Hecbek,Benzin,1.6,120,3850,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2008,148582,Hecbek,Benzin,1.6,120,4200,Zadnji ,Manuelni 6 brzina ,Siva
BMW,116,2008,241500,Hecbek,Benzin,1.6,120,4550,Zadnji ,Manuelni 6 brzina ,Siva
BMW,116,2006,253133,Hecbek,Benzin,1.6,115,3600,Zadnji ,Manuelni 6 brzina ,Siva
BMW,116,2006,222980,Hecbek,Benzin,1.6,115,3800,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2008,90000,Hecbek,Benzin,1.6,120,4050,Zadnji ,Manuelni 6 brzina ,Siva
BMW,116,2004,195000,Hecbek,Benzin,1.6,115,3000,Zadnji ,Manuelni 5 brzina ,Siva
BMW,116,2006,197350,Hecbek,Benzin,1.6,115,3490,Zadnji ,Manuelni 5 brzina ,Druga
BMW,116,2007,227000,Hecbek,Benzin,1.6,120,3750,Zadnji ,Manuelni 5 brzina ,Bela
BMW,116,2011,185000,Hecbek,Benzin,1.6,135,8600,Zadnji ,Manuelni 6 brzina ,Siva
BMW,116,2013,207000,Hecbek,Benzin,1.6,135,8200,Zadnji ,Manuelni 6 brzina ,Bela
BMW,116,2008,235000,Hecbek,Benzin,1.6,120,3200,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2004,229403,Hecbek,Benzin + Gas (TNG),1.6,115,3100,Zadnji ,Manuelni 5 brzina ,Siva
BMW,116,2012,226130,Hecbek,Dizel,2.0,115,8500,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2013,150000,Hecbek,Dizel,2.0,115,8499,Zadnji ,Automatski / poluautomatski ,Crna
BMW,116,2012,251357,Hecbek,Dizel,2.0,115,8590,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2013,273000,Hecbek,Dizel,2.0,115,8790,Zadnji ,Automatski / poluautomatski ,Plava
BMW,116,2012,161300,Hecbek,Dizel,2.0,115,8500,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2009,207199,Hecbek,Dizel,2.0,115,4600,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2013,230000,Hecbek,Dizel,2.0,115,8200,Prednji ,Manuelni 6 brzina ,Bela
BMW,116,2009,183500,Hecbek,Benzin,2.0,120,5000,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2013,189000,Hecbek,Dizel,2.0,115,8200,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2010,171701,Hecbek,Benzin,2.0,120,6800,Zadnji ,Manuelni 6 brzina ,Siva
BMW,116,2010,242000,Hecbek,Dizel,2.0,115,5800,Zadnji ,Manuelni 6 brzina ,Bela
BMW,116,2014,216348,Hecbek,Dizel,2.0,115,9300,Zadnji ,Manuelni 6 brzina ,Plava
BMW,116,2012,241000,Hecbek,Dizel,2.0,115,8200,Zadnji ,Manuelni 6 brzina ,Bela
BMW,116,2008,196000,Hecbek,Benzin,2.0,120,4490,Zadnji ,Manuelni 6 brzina ,Crvena
BMW,116,2015,139417,Hecbek,Dizel,2.0,115,10500,Zadnji ,Manuelni 6 brzina ,Siva
BMW,116,2011,245900,Hecbek,Dizel,2.0,115,7200,Zadnji ,Manuelni 6 brzina ,Siva
BMW,116,2010,257294,Hecbek,Dizel,2.0,115,5450,Prednji ,Manuelni 6 brzina ,Crna
BMW,116,2011,176000,Hecbek,Benzin,2.0,120,5450,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2010,256000,Hecbek,Dizel,2.0,115,5500,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2009,183313,Hecbek,Dizel,2.0,115,4500,Zadnji ,Manuelni 6 brzina ,Bela
BMW,116,2009,180000,Hecbek,Dizel,2.0,115,5300,Prednji ,Manuelni 6 brzina ,Siva
BMW,116,2010,235000,Hecbek,Dizel,2.0,115,6200,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2013,166000,Hecbek,Dizel,2.0,115,8999,Zadnji ,Manuelni 6 brzina ,Bela
BMW,116,2009,235000,Hecbek,Benzin,2.0,120,4700,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2009,149537,Hecbek,Benzin,2.0,120,4599,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2009,236000,Hecbek,Dizel,2.0,115,5300,Zadnji ,Manuelni 6 brzina ,Bela
BMW,116,2010,202500,Hecbek,Dizel,2.0,115,6000,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2012,245000,Hecbek,Dizel,2.0,115,8490,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2011,237400,Hecbek,Dizel,2.0,115,7099,Zadnji ,Manuelni 6 brzina ,Crna
BMW,116,2012,161300,Hecbek,Dizel,2.0,115,8500,Zadnji ,Manuelni 6 brzina ,Crna
BMW,118,2010,227000,Hecbek,Dizel,1.9,145,5500,Zadnji ,Manuelni 6 brzina ,Siva
BMW,118,2006,216000,Hecbek,Dizel,1.9,120,3850,Zadnji ,Manuelni 6 brzina ,Crna
BMW,118,2004,290000,Hecbek,Dizel,1.9,120,3900,Zadnji ,Manuelni 6 brzina ,Siva
BMW,118,2007,222650,Hecbek,Dizel,2.0,145,4250,Zadnji ,Manuelni 6 brzina ,Siva
BMW,118,2008,179512,Hecbek,Dizel,2.0,145,4790,Zadnji ,Manuelni 6 brzina ,Siva
BMW,118,2007,187535,Hecbek,Dizel,2.0,145,4400,Prednji ,Manuelni 6 brzina ,Crna
BMW,118,2008,178100,Hecbek,Dizel,2.0,145,4500,Zadnji ,Manuelni 6 brzina ,Crna
BMW,118,2012,191000,Hecbek,Dizel,2.0,145,8950,Zadnji ,Manuelni 6 brzina ,Siva
BMW,118,2016,193912,Hecbek,Dizel,2.0,150,13490,Prednji ,Automatski / poluautomatski ,Plava
BMW,118,2007,169000,Hecbek,Dizel,2.0,120,3999,Zadnji ,Manuelni 6 brzina ,Siva
BMW,118,2009,230000,Hecbek,Dizel,2.0,145,4950,Zadnji ,Manuelni 6 brzina ,Siva
BMW,118,2005,184000,Hecbek,Dizel,2.0,120,3899,Zadnji ,Manuelni 6 brzina ,Siva
BMW,118,2013,160000,Hecbek,Dizel,2.0,145,8320,Zadnji ,Manuelni 6 brzina ,Plava
BMW,118,2006,160268,Hecbek,Dizel,2.0,120,3699,Zadnji ,Manuelni 6 brzina ,Crna
BMW,118,2005,178422,Hecbek,Dizel,2.0,120,4190,Zadnji ,Manuelni 6 brzina ,Crna
BMW,118,2007,177000,Hecbek,Dizel,2.0,145,4200,Zadnji ,Manuelni 6 brzina ,Crna
BMW,118,2012,192000,Hecbek,Dizel,2.0,145,7700,Zadnji ,Manuelni 6 brzina ,Crna
BMW,118,2004,240000,Hecbek,Dizel,2.0,120,3399,Zadnji ,Manuelni 6 brzina ,Crna
BMW,118,2009,208000,Hecbek,Dizel,2.0,145,5900,Zadnji ,Manuelni 6 brzina ,Crna
BMW,118,2016,219000,Hecbek,Dizel,2.0,150,11990,Zadnji ,Manuelni 6 brzina ,Plava
BMW,118,2005,178111,Hecbek,Dizel,2.0,120,4300,Zadnji ,Manuelni 6 brzina ,Crna
BMW,118,2005,222000,Hecbek,Dizel,2.0,120,3650,Zadnji ,Manuelni 6 brzina ,Druga
BMW,118,2008,220000,Hecbek,Dizel,2.0,120,4300,Zadnji ,Manuelni 6 brzina ,Siva
BMW,118,2007,161521,Hecbek,Dizel,2.0,145,4150,Zadnji ,Manuelni 6 brzina ,Siva
BMW,118,2016,171000,Hecbek,Dizel,2.0,150,16500,Zadnji ,Automatski / poluautomatski ,Crna
BMW,118,2007,205000,Hecbek,Dizel,2.0,145,4300,Zadnji ,Manuelni 6 brzina ,Siva
BMW,118,2011,186000,Hecbek,Dizel,2.0,145,6900,Zadnji ,Automatski / poluautomatski ,Bela
BMW,118,2008,232000,Hecbek,Dizel,2.0,145,4850,Zadnji ,Manuelni 6 brzina ,Bela
BMW,118,2011,160000,Hecbek,Dizel,2.0,145,7950,Zadnji ,Automatski / poluautomatski ,Crna
BMW,118,2007,183000,Hecbek,Dizel,2.0,145,4399,Zadnji ,Manuelni 6 brzina ,Crna
BMW,118,2006,251662,Hecbek,Dizel,2.0,120,4000,Zadnji ,Manuelni 6 brzina ,Siva
BMW,118,2006,225000,Hecbek,Dizel,2.0,120,3850,Zadnji ,Manuelni 6 brzina ,Crna
BMW,118,2008,189000,Hecbek,Dizel,2.0,145,4400,Zadnji ,Manuelni 6 brzina ,Siva
BMW,118,2007,178000,Hecbek,Dizel,2.0,145,3999,Zadnji ,Manuelni 6 brzina ,Siva
BMW,118,2014,166500,Hecbek,Dizel,2.0,145,13790,Zadnji ,Automatski / poluautomatski ,Siva
BMW,118,2006,167253,Hecbek,Dizel,2.0,120,4490,Zadnji ,Manuelni 6 brzina ,Crna
BMW,118,2006,249500,Hecbek,Dizel,2.0,120,4200,Zadnji ,Manuelni 6 brzina ,Plava
BMW,118,2005,210000,Hecbek,Dizel,2.0,120,4300,Zadnji ,Manuelni 6 brzina ,Siva
BMW,118,2007,179800,Hecbek,Benzin,2.0,145,4200,Zadnji ,Manuelni 6 brzina ,Druga
BMW,118,2006,170590,Hecbek,Dizel,2.0,120,3950,Zadnji ,Manuelni 6 brzina ,Druga
BMW,118,2006,252000,Hecbek,Dizel,2.0,120,4000,Zadnji ,Manuelni 6 brzina ,Druga
